2022.11.17 10:23:47 INFO  web[][DbMigrations] #6504 'Add column 'expiration_date' to 'user_tokens'': success | time=30ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6505 'Add column 'rule_description_context_key' to 'issues''...
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6505 'Add column 'rule_description_context_key' to 'issues'': success | time=72ms
2022.11.17 10:23:47 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules'': success | time=60ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules'...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules': success | time=39ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties'...
2022.11.17 10:23:48 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties': success | time=69ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users'': success | time=67ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6510 'Create table 'push_events''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6510 'Create table 'push_events'': success | time=41ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events'': success | time=27ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events'': success | time=47ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token'': success | time=32ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token''...
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token'': success | time=19ms
2022.11.17 10:23:48 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings''...
